title_id,director
nfx_s1,Kirsten Johnson
nfx_s3,Julien Leclercq
nfx_s6,Mike Flanagan
nfx_s7,Robert Cullen
nfx_s7,José Luis Ucha
nfx_s8,Haile Gerima
nfx_s9,Andy Devonshire
nfx_s10,Theodore Melfi
nfx_s12,Kongkiat Komesiri
nfx_s13,Christian Schwochow
nfx_s14,Bruno Garotti
nfx_s17,Pedro de Echave García
nfx_s17,Pablo Azorín Williams
nfx_s19,Adam Salky
nfx_s21,Olivier Megaton
nfx_s23,K.S. Ravikumar
nfx_s24,Alex Woo
nfx_s24,Stanley Moore
nfx_s25,S. Shankar
nfx_s27,Rajiv Menon
nfx_s28,Dennis Dugan
nfx_s29,Scott Stewart
nfx_s30,Robert Luketic
nfx_s31,Ashwiny Iyer Tiwari
nfx_s31,Abhishek Chaubey
nfx_s31,Saket Chaudhary
nfx_s36,Daniel Sandu
nfx_s37,Cédric Jimenez
nfx_s39,George Nolfi
nfx_s42,Steven Spielberg
nfx_s43,Jeannot Szwarc
nfx_s44,Joe Alves
nfx_s45,Joseph Sargent
nfx_s46,Tyler Greco
nfx_s47,Daniel Espinosa
nfx_s48,Bunmi Ajakaiye
nfx_s49,Antoine Fuqua
nfx_s52,Toshiya Shinohara
nfx_s53,Toshiya Shinohara
nfx_s54,Toshiya Shinohara
nfx_s55,Toshiya Shinohara
nfx_s57,Masahiko Murata
nfx_s58,Hajime Kamegaki
nfx_s59,Masahiko Murata
nfx_s60,Hajime Kamegaki
nfx_s61,Masahiko Murata
nfx_s62,Hirotsugu Kawasaki
nfx_s63,Toshiyuki Tsuru
nfx_s64,Tensai Okamura
nfx_s65,David Yarovesky
nfx_s69,Hanns-Bruno Kammertöns
nfx_s69,Vanessa Nöcker
nfx_s69,Michael Wech
nfx_s72,David A. Vargas
nfx_s74,Kemi Adetiba
nfx_s76,Ben Simms
nfx_s78,Prakash Satam
nfx_s79,Delhiprasad Deenadayalan
nfx_s80,Delhiprasad Deenadayalan
nfx_s81,Tomer Eshed
