title_id,category
nfx_s1,Documentaries
nfx_s2,International TV Shows
nfx_s2,TV Dramas
nfx_s2,TV Mysteries
nfx_s3,Crime TV Shows
nfx_s3,International TV Shows
nfx_s3,TV Action & Adventure
nfx_s4,Docuseries
nfx_s4,Reality TV
nfx_s5,International TV Shows
nfx_s5,Romantic TV Shows
nfx_s5,TV Comedies
nfx_s6,TV Dramas
nfx_s6,TV Horror
nfx_s6,TV Mysteries
nfx_s7,Children & Family Movies
nfx_s8,Dramas
nfx_s8,Independent Movies
nfx_s8,International Movies
nfx_s9,British TV Shows
nfx_s9,Reality TV
nfx_s10,Comedies
nfx_s10,Dramas
nfx_s11,Crime TV Shows
nfx_s11,Docuseries
nfx_s11,International TV Shows
nfx_s12,Crime TV Shows
nfx_s12,International TV Shows
nfx_s12,TV Action & Adventure
nfx_s13,Dramas
nfx_s13,International Movies
nfx_s14,Children & Family Movies
nfx_s14,Comedies
nfx_s15,British TV Shows
nfx_s15,Crime TV Shows
nfx_s15,Docuseries
nfx_s16,TV Comedies
nfx_s16,TV Dramas
nfx_s17,Documentaries
nfx_s17,International Movies
nfx_s18,Crime TV Shows
nfx_s18,Spanish-Language TV Shows
nfx_s18,TV Dramas
nfx_s19,Thrillers
nfx_s20,International TV Shows
nfx_s20,Spanish-Language TV Shows
nfx_s20,TV Action & Adventure
nfx_s21,Crime TV Shows
nfx_s21,Docuseries
nfx_s21,International TV Shows
nfx_s22,International TV Shows
nfx_s22,TV Action & Adventure
nfx_s22,TV Dramas
nfx_s23,Comedies
nfx_s23,International Movies
nfx_s24,Children & Family Movies
nfx_s25,Comedies
nfx_s25,International Movies
nfx_s25,Romantic Movies
nfx_s26,Docuseries
nfx_s26,International TV Shows
nfx_s26,Reality TV
nfx_s27,Comedies
nfx_s27,International Movies
nfx_s27,Music & Musicals
nfx_s28,Comedies
nfx_s29,Horror Movies
nfx_s29,Sci-Fi & Fantasy
nfx_s30,Thrillers
nfx_s31,Dramas
nfx_s31,Independent Movies
nfx_s31,International Movies
nfx_s32,TV Comedies
nfx_s33,British TV Shows
nfx_s33,International TV Shows
nfx_s33,TV Comedies
nfx_s34,International TV Shows
nfx_s34,TV Dramas
nfx_s34,TV Thrillers
nfx_s35,Kids' TV
nfx_s36,Dramas
nfx_s36,International Movies
nfx_s36,Thrillers
nfx_s37,Action & Adventure
nfx_s37,Dramas
nfx_s37,International Movies
nfx_s38,Kids' TV
nfx_s38,TV Comedies
nfx_s39,Action & Adventure
nfx_s39,Dramas
nfx_s40,Kids' TV
